,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.4,0.45,0.425,,,0.78,0.89,0.88,0.78,,2.28,,2.28,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.45,0.5,0.475,,,0.78,0.96,0.95,0.78,,1.76,,1.76,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.5,0.6,0.550,,,0.85,0.91,0.90,0.85,,2.07,,2.07,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.6,0.7,0.650,,,0.85,0.94,0.93,0.85,,1.87,,1.87,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.7,0.8,0.750,,,0.85,0.99,0.98,0.85,,1.56,,1.56,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.8,0.9,0.850,,,0.85,1.00,0.99,0.85,,1.51,,1.51,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.9,1,0.950,,,0.85,1.04,1.03,0.85,,1.32,,1.32,,,0.011,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1,1.15,1.075,,,0.99,1.04,1.04,0.99,,1.31,,1.31,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.15,1.3,1.225,,,0.99,0.99,0.98,0.99,,1.56,,1.56,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.3,1.45,1.375,,,0.99,1.01,1.00,0.99,,1.45,,1.45,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.45,1.6,1.525,,,0.99,1.00,0.99,0.99,,1.53,,1.53,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.6,1.75,1.675,,,0.99,1.00,0.99,0.99,,1.50,,1.50,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.75,1.9,1.825,,,0.99,1.01,1.01,0.99,,1.43,,1.43,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,1.9,2.05,1.975,,,0.99,1.02,1.01,0.99,,1.41,,1.41,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,2.05,2.2,2.125,,,0.99,1.03,1.02,0.99,,1.37,,1.37,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,2.2,2.35,2.275,,,0.99,1.03,1.02,0.99,,1.36,,1.36,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,2.35,2.5,2.425,,,0.99,0.99,0.99,0.99,,1.54,,1.54,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,2.5,4,3.250,,,1.02,1.02,1.02,1.02,,1.40,,1.40,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0,0.05,0.025,,,0.61,0.82,0.81,0.61,,2.94,,2.94,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.05,0.1,0.075,,,0.61,0.80,0.79,0.61,,3.16,,3.16,,,0.019,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.1,0.15,0.125,,,0.61,0.77,0.76,0.61,,3.57,,3.57,,,0.022,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.15,0.2,0.175,,,0.66,0.79,0.78,0.66,,3.31,,3.31,,,0.022,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.2,0.25,0.225,,,0.66,0.85,0.84,0.66,,2.62,,2.62,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.25,0.3,0.275,,,0.66,0.84,0.83,0.66,,2.71,,2.71,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.3,0.35,0.325,,,0.62,0.75,0.76,0.62,,3.72,,3.72,,,0.023,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.35,0.4,0.375,,,0.62,0.85,0.84,0.62,,2.63,,2.63,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.4,0.45,0.425,,,0.62,0.90,0.88,0.88,,2.22,,2.22,,,0.020,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.45,0.5,0.475,,,0.62,0.87,0.86,0.62,,2.45,,2.45,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.5,0.6,0.550,,,0.77,0.88,0.87,0.77,,2.34,,2.34,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.6,0.7,0.650,,,0.77,0.93,0.92,0.77,,1.95,,1.95,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.7,0.8,0.750,,,0.77,0.92,0.91,0.77,,2.02,,2.02,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.8,0.9,0.850,,,0.77,0.98,0.97,0.77,,1.64,,1.64,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,0.9,1,0.950,,,0.77,0.96,0.95,0.77,,1.72,,1.72,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1,1.15,1.075,,,1.08,0.98,0.97,1.08,,1.62,,1.62,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.15,1.3,1.225,,,1.08,1.01,1.00,1.08,,1.45,,1.45,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.3,1.45,1.375,,,1.08,1.01,1.01,1.08,,1.45,,1.45,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.45,1.6,1.525,,,1.08,1.00,0.99,1.08,,1.51,,1.51,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.6,1.75,1.675,,,1.08,1.02,1.01,1.08,,1.41,,1.41,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.75,1.9,1.825,,,1.08,1.05,1.05,1.08,,1.27,,1.27,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,1.9,2.05,1.975,,,1.08,1.03,1.03,1.08,,1.34,,1.34,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,2.05,2.2,2.125,,,1.08,1.07,1.07,1.08,,1.17,,1.17,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,2.2,2.35,2.275,,,1.08,1.03,1.03,1.08,,1.35,,1.35,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,2.35,2.5,2.425,,,1.08,1.04,1.04,1.08,,1.28,,1.28,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Transitional,M0395,2.5,4,3.250,,,1.17,1.04,1.04,1.17,,1.30,,1.30,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0,0.05,0.025,,,0.66,0.76,0.76,0.66,,3.71,,3.71,,,0.024,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.05,0.1,0.075,,,0.66,0.79,0.79,0.66,,3.25,,3.25,,,0.021,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.1,0.15,0.125,,,0.66,0.83,0.82,0.66,,2.81,,2.81,,,0.019,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.15,0.2,0.175,,,0.68,0.82,0.81,0.68,,2.98,,2.98,,,0.020,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.2,0.25,0.225,,,0.68,0.75,0.75,0.68,,3.81,,3.81,,,0.026,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.25,0.3,0.275,,,0.68,0.79,0.79,0.68,,3.23,,3.23,,,0.022,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.3,0.35,0.325,,,0.73,0.78,0.78,0.73,,3.37,,3.37,,,0.025,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.35,0.4,0.375,,,0.73,0.83,0.83,0.73,,2.78,,2.78,,,0.020,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.4,0.45,0.425,,,0.73,0.84,0.83,0.73,,2.71,,2.71,,,0.020,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.45,0.5,0.475,,,0.73,0.86,0.85,0.73,,2.53,,2.53,,,0.018,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.5,0.6,0.550,,,0.79,0.86,0.85,0.79,,2.50,,2.50,,,0.020,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.6,0.7,0.650,,,0.79,0.83,0.82,0.79,,2.88,,2.88,,,0.023,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.7,0.8,0.750,,,0.79,0.93,0.92,0.79,,1.93,,1.93,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.8,0.9,0.850,,,0.79,0.91,0.89,0.79,,2.14,,2.14,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,0.9,1,0.950,,,0.79,0.93,0.92,0.79,,1.93,,1.93,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1,1.15,1.075,,,1.20,0.98,0.97,1.20,,1.61,,1.61,,,0.019,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.15,1.3,1.225,,,1.20,1.02,1.01,1.20,,1.43,,1.43,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.3,1.45,1.375,,,1.20,1.04,1.03,1.20,,1.32,,1.32,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.45,1.6,1.525,,,1.20,0.99,0.98,1.20,,1.57,,1.57,,,0.019,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.6,1.75,1.675,,,1.20,1.08,1.08,1.20,,1.12,,1.12,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.75,1.9,1.825,,,1.20,1.09,1.10,1.20,,1.08,,1.08,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,1.9,2.05,1.975,,,1.20,1.04,1.04,1.20,,1.30,,1.30,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,2.05,2.2,2.125,,,1.20,1.08,1.08,1.20,,1.12,,1.12,,,0.013,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,2.2,2.35,2.275,,,1.20,1.01,1.01,1.20,,1.44,,1.44,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,2.35,2.5,2.425,,,1.20,1.05,1.05,1.20,,1.25,,1.25,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Interior,M0396,2.5,4,3.250,,,1.20,1.04,1.04,1.20,,1.30,,1.30,,,0.016,N,2012,,,,,,,,,,,,,,,,
SJL12 Stony Point,M0397,0,0.1,0.050,,,0.44,0.71,0.72,0.72,,4.37,,4.37,,,0.031,Y,2009,,,,,,,,,,,,,,,,
SJL12 Stony Point,M0397,0.1,0.3,0.200,,,0.46,0.78,0.78,0.78,,3.42,,3.42,,,0.027,Y,2009,,,,,,,,,,,,,,,,
SJL12 Stony Point,M0397,0.3,0.6,0.450,,,0.53,0.83,0.82,0.82,,2.80,,2.80,,,0.023,Y,2009,,,,,,,,,,,,,,,,
SJL12 Stony Point,M0397,0.6,1,0.800,,,0.54,0.88,0.87,0.87,,2.37,,2.37,,,0.021,Y,2009,,,,,,,,,,,,,,,,
SJL12 Jacks Beach,M0398,0,0.1,0.050,,,0.46,0.77,0.77,0.77,,3.57,,3.57,,,0.027,Y,2009,,,,,,,,,,,,,,,,
SJL12 Jacks Beach,M0398,0.1,0.3,0.200,,,0.37,0.70,0.71,0.71,,4.55,,4.55,,,0.032,Y,2009,,,,,,,,,,,,,,,,
SJL12 Jacks Beach,M0398,0.3,0.6,0.450,,,0.56,0.80,0.79,0.56,,3.17,,3.17,,,0.018,Y,2009,,,,,,,,,,,,,,,,
SJL12 Jacks Beach,M0398,0.6,1,0.800,,,0.40,0.90,0.89,0.89,,2.20,,2.20,,,0.019,Y,2009,,,,,,,,,,,,,,,,
SJL12 Yaringa,M0399,0,0.1,0.050,,,0.52,0.74,0.74,0.52,,3.91,,3.91,,,0.020,Y,2009,,,,,,,,,,,,,,,,
SJL12 Yaringa,M0399,0.1,0.3,0.200,,,0.50,0.85,0.84,0.84,,2.62,,2.62,,,0.022,Y,2009,,,,,,,,,,,,,,,,
SJL12 Yaringa,M0399,0.3,0.6,0.450,,,0.73,0.90,0.89,0.73,,2.20,,2.20,,,0.016,Y,2009,,,,,,,,,,,,,,,,
SJL12 Yaringa,M0399,0.6,1,0.800,,,0.79,0.99,0.98,0.79,,1.56,,1.56,,,0.012,Y,2009,,,,,,,,,,,,,,,,
PE16 Punta Cancun Fringe,M0400,0,0.1,0.050,,,0.72,0.88,0.87,0.72,,2.33,,2.33,,,0.017,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Fringe,M0400,0.1,0.25,0.175,,,0.74,0.62,0.63,0.74,,6.07,,6.07,,,0.045,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Fringe,M0400,0.25,0.4,0.325,,,0.85,0.56,0.58,0.58,,7.44,,7.44,,,0.043,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Fringe,M0400,0.4,1,0.700,,,1.83,0.84,0.83,0.83,,2.77,,2.77,,,0.023,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Fringe,M0400,1,1.25,1.125,,,2.95,1.44,1.43,1.43,,0.28,,0.28,,,0.004,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Mudflat,M0401,0,0.12,0.060,,,1.26,1.05,1.05,1.26,,1.27,,1.27,,,0.016,Y,2013,,,,,,,,,,,,,,,,
PE16 Punta Cancun Mudflat,M0401,0.12,0.8,0.460,,,2.15,1.28,1.31,1.31,,0.51,,0.51,,,0.007,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Mudflat,M0402,0,0.09,0.045,,,1.38,0.93,0.92,0.92,,1.95,,1.95,,,0.018,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Mudflat,M0402,0.09,1.2,0.645,,,2.55,1.30,1.32,1.32,,0.49,,0.49,,,0.006,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Fringe,M0403,0,0.09,0.045,,,1.67,1.19,1.21,1.21,,0.72,,0.72,,,0.009,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Fringe,M0403,0.09,0.46,0.275,,,2.04,1.02,1.01,1.01,,1.42,,1.42,,,0.014,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Fringe,M0403,0.46,1.21,0.835,,,1.22,0.78,0.78,0.78,,3.39,,3.39,,,0.026,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Fringe,M0403,1.21,1.47,1.340,,,1.89,1.38,1.38,1.38,,0.35,,0.35,,,0.005,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Receding/Dead,M0404,0,0.05,0.025,,,1.07,0.87,0.86,1.07,,2.47,,2.47,,,0.026,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Receding/Dead,M0404,0.05,0.45,0.250,,,0.75,1.07,1.07,1.07,,1.17,,1.17,,,0.013,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Receding/Dead,M0404,0.45,0.76,0.605,,,1.84,0.60,0.62,0.62,,6.41,,6.41,,,0.040,Y,2013,,,,,,,,,,,,,,,,
PE16 La Salina Receding/Dead,M0404,0.76,1.25,1.005,,,2.22,1.45,1.44,1.44,,0.26,,0.26,,,0.004,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Mudflat,M0405,0,0.4,0.200,,,1.47,1.20,1.22,1.47,,0.70,,0.70,,,0.010,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Mudflat,M0405,0.4,1.2,0.800,,,1.76,1.16,1.18,1.18,,0.82,,0.82,,,0.010,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Mudflat,M0405,1.2,1.73,1.465,,,0.79,0.60,0.62,0.79,,6.42,,6.42,,,0.051,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Mudflat,M0405,1.73,2,1.865,,,1.59,1.06,1.06,1.06,,1.20,,1.20,,,0.013,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,0,0.08,0.040,,,1.22,1.08,1.09,1.22,,1.11,,1.11,,,0.014,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,0.08,0.45,0.265,,,1.94,1.37,1.38,1.38,,0.37,,0.37,,,0.005,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,0.45,1.18,0.815,,,1.25,0.75,0.75,0.75,,3.74,,3.74,,,0.028,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,1.18,1.6,1.390,,,1.39,0.71,0.72,0.72,,4.39,,4.39,,,0.031,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,1.6,1.82,1.710,,,1.42,0.83,0.82,0.82,,2.83,,2.83,,,0.023,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,1.82,2.2,2.010,,,0.97,0.85,0.84,0.97,,2.65,,2.65,,,0.026,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Upper Mudflat,M0406,2.2,2.26,2.230,,,1.95,0.64,0.65,0.65,,5.66,,5.66,,,0.037,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Fringe,M0407,0,0.45,0.225,,,1.70,1.32,1.34,1.34,,0.44,,0.44,,,0.006,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Fringe,M0407,0.45,1.63,1.040,,,3.26,1.28,1.30,1.30,,0.52,,0.52,,,0.007,Y,2013,,,,,,,,,,,,,,,,
PE16 Sur Fringe,M0407,1.63,2,1.815,,,1.88,1.21,1.23,1.23,,0.68,,0.68,,,0.008,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Fringe,M0408,0,0.09,0.045,,,0.74,0.49,0.50,0.74,,9.61,,9.61,,,0.071,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Fringe,M0408,0.09,0.43,0.260,,,1.11,0.44,0.46,0.46,,11.15,,11.15,,,0.051,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Fringe,M0408,0.43,0.61,0.520,,,2.17,0.46,0.47,0.47,,10.51,,10.51,,,0.050,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Mudflat,M0409,0,0.09,0.045,,,0.64,0.77,0.77,0.64,,3.53,,3.53,,,0.023,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Mudflat,M0409,0.09,0.45,0.270,,,0.49,0.32,0.31,0.49,,17.35,,17.35,,,0.084,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Mudflat,M0409,0.45,1.19,0.820,,,0.56,0.38,0.38,0.56,,13.93,,13.93,,,0.079,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Mudflat,M0409,1.19,1.45,1.320,,,0.45,0.43,0.44,0.45,,11.62,,11.62,,,0.052,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Mudflat,M0409,1.45,1.84,1.645,,,1.33,0.68,0.69,0.69,,4.79,,4.79,,,0.033,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Upper Mudflat,M0410,0,0.49,0.245,,,1.44,1.24,1.27,1.44,,0.60,,0.60,,,0.009,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Upper Mudflat,M0410,0.49,1.97,1.230,,,0.75,0.57,0.58,0.75,,7.29,,7.29,,,0.055,Y,2013,,,,,,,,,,,,,,,,
PE16 Norte Upper Mudflat,M0410,1.97,2.1,2.035,,,1.06,0.54,0.55,0.55,,8.09,,8.09,,,0.045,Y,2013,,,,,,,,,,,,,,,,
PE16 Camichin Mudflat,M0411,0,0.4,0.200,,,1.41,1.10,1.11,1.11,,1.02,,1.02,,,0.011,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichin Mudflat,M0411,0.4,0.8,0.600,,,1.74,1.26,1.29,1.29,,0.55,,0.55,,,0.007,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichin Mudflat,M0411,0.8,1.15,0.975,,,1.63,1.22,1.24,1.24,,0.65,,0.65,,,0.008,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichan Upper Mudflat,M0412,0,0.4,0.200,,,1.50,1.07,1.07,1.07,,1.18,,1.18,,,0.013,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichan Upper Mudflat,M0412,0.4,0.8,0.600,,,1.15,1.06,1.07,1.15,,1.19,,1.19,,,0.014,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichan Upper Mudflat,M0412,0.8,1.2,1.000,,,1.24,1.17,1.19,1.24,,0.78,,0.78,,,0.010,Y,2014,,,,,,,,,,,,,,,,
PE16 Camichan Upper Mudflat,M0412,1.2,1.3,1.250,,,1.64,1.48,1.46,1.64,,0.23,,0.23,,,0.004,Y,2014,,,,,,,,,,,,,,,,
PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,0,0.4,0.200,,,1.62,0.89,0.88,0.88,,2.29,,2.29,,,0.020,Y,2014,,,,,,,,,,,,,,,,
PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,0.4,0.54,0.470,,,1.51,1.35,1.37,1.51,,0.39,,0.39,,,0.006,Y,2014,,,,,,,,,,,,,,,,
PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,0.54,0.8,0.670,,,1.50,1.24,1.26,1.50,,0.61,,0.61,,,0.009,Y,2014,,,,,,,,,,,,,,,,
PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,0.8,1.2,1.000,,,2.02,1.33,1.35,1.35,,0.42,,0.42,,,0.006,Y,2014,,,,,,,,,,,,,,,,
PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,1.2,1.6,1.400,,,2.02,1.60,1.51,1.51,,0.14,,0.14,,,0.002,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,0,0.1,0.050,,,0.25,0.09,0.14,0.25,,37.00,,37.00,,,0.092,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,0.1,0.55,0.325,,,0.39,0.13,0.16,0.39,,32.44,,32.44,,,0.128,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,0.55,0.75,0.650,,,0.95,0.97,0.96,0.95,,1.68,,1.68,,,0.016,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,0.75,0.9,0.825,,,0.39,0.30,0.30,0.39,,18.35,,18.35,,,0.072,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,0.9,1.05,0.975,,,0.83,0.46,0.47,0.47,,10.60,,10.60,,,0.050,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,1.05,1.4,1.225,,,0.90,0.55,0.56,0.56,,7.84,,7.84,,,0.044,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,1.4,1.8,1.600,,,1.08,0.61,0.63,0.63,,6.27,,6.27,,,0.039,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,1.8,2.15,1.975,,,0.75,0.55,0.57,0.75,,7.76,,7.76,,,0.058,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,2.15,2.35,2.250,,,0.68,0.44,0.45,0.68,,11.38,,11.38,,,0.078,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,2.35,2.55,2.450,,,1.55,0.72,0.72,0.72,,4.27,,4.27,,,0.031,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,2.55,2.9,2.725,,,1.79,1.09,1.10,1.10,,1.06,,1.06,,,0.012,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 1,M0414,2.9,3,2.950,,,2.15,1.25,1.28,1.28,,0.57,,0.57,,,0.007,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,0,0.1,0.050,,,0.60,0.55,0.57,0.60,,7.66,,7.66,,,0.046,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,0.1,0.55,0.325,,,1.47,1.09,1.10,1.10,,1.07,,1.07,,,0.012,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,0.55,1.05,0.800,,,0.79,0.86,0.85,0.79,,2.51,,2.51,,,0.020,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,1.05,1.35,1.200,,,2.11,1.09,1.10,1.10,,1.07,,1.07,,,0.012,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,1.35,1.7,1.525,,,1.80,0.69,0.70,0.70,,4.72,,4.72,,,0.033,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Fringe,M0415,1.7,1.85,1.775,,,2.21,1.10,1.11,1.11,,1.02,,1.02,,,0.011,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,0,0.2,0.100,,,0.54,0.62,0.63,0.54,,6.12,,6.12,,,0.033,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,0.2,0.7,0.450,,,1.39,1.17,1.19,1.39,,0.79,,0.79,,,0.011,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,1.05,1.85,1.450,,,1.40,1.46,1.45,1.40,,0.25,,0.25,,,0.003,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,1.85,2.05,1.950,,,1.29,1.35,1.36,1.29,,0.40,,0.40,,,0.005,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,2.05,2.3,2.175,,,0.92,0.56,0.58,0.58,,7.51,,7.51,,,0.043,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,2.3,2.4,2.350,,,1.48,0.93,0.92,0.92,,1.95,,1.95,,,0.018,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,2.4,2.55,2.475,,,0.62,0.46,0.47,0.62,,10.57,,10.57,,,0.065,Y,2014,,,,,,,,,,,,,,,,
PE16 Las Garzas Mudflat,M0416,2.55,2.65,2.600,,,1.55,1.45,1.44,1.55,,0.26,,0.26,,,0.004,Y,2014,,,,,,,,,,,,,,,,
PE16 La Concepcion Mudflat 2,M0417,0,0.35,0.175,,,0.18,0.06,0.12,0.18,,41.32,,41.32,,,0.072,Y,2014,,,,,,,,,,,,,,,,
